"PLAYER_ID","PLAYER_NAME","TEAM_ABBREVIATION","GP","MIN","PTS","REB","AST","STL","BLK","FG_PCT","FG3_PCT","FT_PCT","TOV","PLUS_MINUS","SEASON"
203482,"Kelly Olynyk","MIA",43,26.902,10.047,6.07,2.116,0.93,0.605,0.413,0.277,0.329,1.279,1.488,"2020-21"
203484,"Kentavious Caldwell-Pope","LAL",67,28.388,9.746,2.672,1.896,0.925,0.388,0.425,0.365,0.522,0.985,2.06,"2020-21"
203486,"Mason Plumlee","DET",56,26.761,10.375,9.268,3.607,0.768,0.893,0.613,0,0.497,1.875,-2.679,"2020-21"
203487,"Michael Carter-Williams","ORL",31,25.795,8.839,4.484,4.161,0.806,0.548,0.398,0.177,0.489,2.226,-1.581,"2020-21"
203488,"Mike Muscala","OKC",35,18.441,9.686,3.771,0.8,0.229,0.314,0.441,0.368,0.462,0.6,0.486,"2020-21"
203490,"Otto Porter Jr.","CHI",25,21.612,9.88,5.52,2,0.48,0.16,0.412,0.341,0.413,1,-2.12,"2020-21"
203493,"Reggie Bullock Jr.","NYK",65,29.989,10.908,3.431,1.523,0.8,0.169,0.443,0.402,0.374,0.692,1.646,"2020-21"
203496,"Robert Covington","POR",70,32.04,8.471,6.657,1.671,1.443,1.2,0.401,0.388,0.332,0.914,2.9,"2020-21"
203497,"Rudy Gobert","UTA",71,30.798,14.296,13.521,1.254,0.563,2.676,0.687,0,0.601,1.662,10.254,"2020-21"
203500,"Steven Adams","NOP",58,27.664,7.552,8.862,1.914,0.931,0.655,0.623,0,0.284,1.345,0.259,"2020-21"
203501,"Tim Hardaway Jr.","DAL",70,28.36,16.614,3.271,1.8,0.443,0.157,0.437,0.369,0.588,0.914,1.014,"2020-21"
203503,"Tony Snell","ATL",47,21.108,5.298,2.383,1.255,0.277,0.234,0.471,0.456,0.128,0.447,1.362,"2020-21"
203504,"Trey Burke","DAL",62,14.699,6.629,0.871,1.306,0.581,0.113,0.404,0.29,0.292,0.532,0.242,"2020-21"
203506,"Victor Oladipo","HOU",20,33.466,21.2,4.75,4.95,1.2,0.5,0.405,0.315,0.731,2.55,-3.95,"2020-21"
203507,"Giannis Antetokounmpo","MIL",61,32.996,28.148,11,5.852,1.18,1.197,0.565,0.3,0.683,3.393,6.705,"2020-21"
203516,"James Ennis III","ORL",41,24.056,8.415,4.049,1.512,0.78,0.171,0.466,0.397,0.512,0.878,-1.78,"2020-21"
203524,"Solomon Hill","ATL",71,21.317,4.465,3.014,1.056,0.704,0.155,0.31,0.268,0.207,0.592,0.352,"2020-21"
203526,"Raul Neto","WAS",64,21.925,8.703,2.438,2.281,1.141,0.094,0.479,0.367,0.462,0.828,-0.328,"2020-21"
203552,"Seth Curry","PHI",57,28.74,12.474,2.386,2.719,0.772,0.14,0.448,0.432,0.487,1.14,5.596,"2020-21"
203648,"Thanasis Antetokounmpo","MIL",57,9.667,2.912,2.175,0.807,0.386,0.175,0.326,0.049,0.154,0.754,-0.211,"2020-21"
203897,"Zach LaVine","CHI",58,35.063,27.431,4.983,4.862,0.793,0.466,0.501,0.404,0.83,3.5,-0.155,"2020-21"
203901,"Elfrid Payton","NYK",63,23.562,10.143,3.429,3.222,0.746,0.143,0.415,0.218,0.388,1.635,-1.556,"2020-21"
203903,"Jordan Clarkson","UTA",68,26.73,18.397,4.029,2.471,0.897,0.147,0.427,0.351,0.659,1.691,4.426,"2020-21"
203914,"Gary Harris","ORL",20,24.939,10.2,1.6,2.3,0.55,0.35,0.372,0.367,0.625,1.15,-9.05,"2020-21"
203918,"Rodney Hood","POR",38,19.116,4.737,1.921,1.237,0.526,0.105,0.302,0.22,0.145,0.816,-2.395,"2020-21"
203920,"Khem Birch","ORL",48,19.83,5.312,5.062,1.104,0.667,0.583,0.408,0.059,0.446,0.479,-2.229,"2020-21"
203922,"Glenn Robinson III","SAC",23,16.058,5.261,1.957,0.87,0.174,0.13,0.437,0.29,0.319,0.478,-5.696,"2020-21"
203924,"Jerami Grant","DET",54,33.875,22.315,4.63,2.815,0.648,1.074,0.429,0.36,0.772,2.019,-2.167,"2020-21"
203925,"Joe Harris","BKN",69,31.037,14.116,3.594,1.884,0.667,0.203,0.496,0.465,0.377,0.899,5.101,"2020-21"
203926,"Doug McDermott","IND",66,24.532,13.621,3.348,1.288,0.303,0.091,0.538,0.333,0.412,0.803,-0.727,"2020-21"
203932,"Aaron Gordon","DEN",25,25.926,10.16,4.72,2.24,0.68,0.56,0.48,0.243,0.487,1.2,3.8,"2020-21"
203932,"Aaron Gordon","ORL",25,29.425,14.56,6.64,4.2,0.64,0.8,0.425,0.371,0.569,2.68,-1.4,"2020-21"
203935,"Marcus Smart","BOS",48,32.943,13.062,3.479,5.688,1.5,0.479,0.403,0.318,0.571,2,1.938,"2020-21"
203937,"Kyle Anderson","MEM",69,27.353,12.377,5.739,3.623,1.217,0.826,0.467,0.372,0.649,1.246,0.739,"2020-21"
203939,"Dwight Powell","DAL",58,16.648,5.897,4.034,1.086,0.621,0.517,0.518,0.078,0.531,0.69,1.293,"2020-21"
203944,"Julius Randle","NYK",71,37.56,24.113,10.197,6.014,0.901,0.254,0.452,0.406,0.758,3.394,2.155,"2020-21"
203952,"Andrew Wiggins","GSW",71,33.3,18.592,4.887,2.352,0.944,0.986,0.477,0.378,0.636,1.775,0,"2020-21"
203954,"Joel Embiid","PHI",51,31.08,28.451,10.569,2.843,0.98,1.353,0.508,0.428,0.849,3.118,7.941,"2020-21"
203960,"JaKarr Sampson","IND",29,10.906,4.621,2.655,0.138,0.069,0.483,0.365,0.086,0.286,0.517,0.138,"2020-21"
203967,"Dario Saric","PHX",50,17.41,8.74,3.8,1.3,0.6,0.08,0.42,0.277,0.595,1.14,4.38,"2020-21"
203991,"Clint Capela","ATL",63,30.133,15.175,14.333,0.778,0.698,2.048,0.598,0,0.461,1.159,3.984,"2020-21"
203992,"Bogdan Bogdanović","ATL",44,29.668,16.364,3.636,3.341,1.114,0.295,0.452,0.405,0.357,1.227,2.5,"2020-21"
203994,"Jusuf Nurkić","POR",37,23.786,11.459,8.973,3.378,1.027,1.054,0.511,0.239,0.513,1.973,3.351,"2020-21"
203999,"Nikola Jokić","DEN",72,34.553,26.361,10.833,8.319,1.319,0.667,0.576,0.347,0.797,3.083,5.333,"2020-21"
204001,"Kristaps Porziņģis","DAL",43,30.85,20.116,8.86,1.581,0.465,1.349,0.476,0.371,0.734,1.186,0.186,"2020-21"
204020,"Tyler Johnson","BKN",39,17.536,5.385,1.974,1.205,0.359,0,0.372,0.313,0.156,0.436,1.205,"2020-21"
204038,"Langston Galloway","PHX",40,10.942,4.75,1.05,0.65,0.2,0,0.386,0.321,0.242,0.325,0.85,"2020-21"
204060,"Joe Ingles","UTA",67,27.859,12.075,3.642,4.746,0.672,0.179,0.49,0.434,0.445,1.746,6.776,"2020-21"
