PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,PLUS_MINUS
1630176,Vernon Carey Jr.,WAS,11,2.589,0.545,1.0,0.273,0.182,0.182,0.182,0.0,0.091,0.182,-0.909
1630177,Theo Maledon,CHA,44,19.401,6.705,2.795,3.455,0.841,0.273,0.379,0.251,0.499,1.341,-3.341
1630178,Tyrese Maxey,PHI,60,33.596,20.3,2.933,3.533,0.817,0.133,0.479,0.39,0.744,1.333,4.017
1630180,Saddiq Bey,ATL,25,25.143,11.64,4.8,1.36,0.8,0.04,0.441,0.346,0.5,0.68,4.0
1630180,Saddiq Bey,DET,52,28.849,14.827,4.654,1.615,0.962,0.231,0.389,0.303,0.758,1.038,-4.75
1630181,R.J. Hampton,DET,21,18.517,7.286,2.286,0.952,0.524,0.238,0.339,0.303,0.378,1.0,-4.952
1630181,R.J. Hampton,ORL,26,13.876,5.731,1.5,1.308,0.615,0.154,0.363,0.244,0.381,0.808,-1.385
1630182,Josh Green,DAL,60,25.654,9.1,3.033,1.717,0.7,0.083,0.527,0.341,0.447,1.2,1.283
1630183,Jaden McDaniels,MIN,79,30.588,12.063,3.886,1.873,0.937,0.962,0.502,0.365,0.442,1.418,0.886
1630184,Kira Lewis Jr.,NOP,25,9.391,4.56,1.32,0.92,0.4,0.08,0.417,0.313,0.38,0.4,2.48
1630188,Jalen Smith,IND,68,18.806,9.441,5.794,0.971,0.309,0.882,0.459,0.236,0.484,1.059,-1.397
1630191,Isaiah Stewart,DET,50,28.281,11.34,8.06,1.4,0.4,0.68,0.447,0.296,0.547,1.36,-4.52
1630192,Zeke Nnaji,DEN,53,13.732,5.226,2.604,0.34,0.321,0.434,0.462,0.162,0.286,0.585,-1.83
1630193,Immanuel Quickley,NYK,81,28.94,14.926,4.16,3.444,0.988,0.173,0.439,0.359,0.638,1.235,3.926
1630194,Paul Reed,PHI,69,10.944,4.159,3.797,0.391,0.652,0.739,0.488,0.007,0.186,0.652,-0.246
1630195,Leandro Bolmaro,UTA,14,4.891,0.429,0.5,0.5,0.214,0.071,0.06,0.0,0.0,0.5,0.143
1630197,Aleksej Pokusevski,OKC,34,20.628,8.118,4.676,1.882,0.588,1.265,0.39,0.302,0.282,1.265,-5.765
1630198,Isaiah Joe,OKC,73,19.114,9.466,2.397,1.205,0.658,0.11,0.391,0.355,0.344,0.534,2.918
1630200,Tre Jones,SAS,68,29.173,12.868,3.603,6.588,1.309,0.132,0.446,0.268,0.631,1.618,-4.779
1630201,Malachi Flynn,TOR,53,13.034,4.642,1.434,1.321,0.396,0.075,0.288,0.279,0.171,0.472,-0.755
1630202,Payton Pritchard,BOS,48,13.391,5.625,1.833,1.333,0.292,0.021,0.324,0.257,0.13,0.833,0.25
1630205,Lamar Stevens,CLE,62,18.072,5.29,3.339,0.532,0.435,0.306,0.411,0.258,0.251,0.435,0.097
1630206,Jay Scrubb,ORL,2,15.058,6.5,3.0,0.5,1.0,0.0,0.834,0.5,0.25,1.5,-8.0
1630208,Nick Richards,CHA,65,18.733,8.185,6.4,0.585,0.169,1.092,0.625,0.015,0.631,0.908,-1.738
1630209,Omer Yurtseven,MIA,9,9.248,4.444,2.556,0.222,0.222,0.222,0.588,0.111,0.278,0.444,1.111
1630214,Xavier Tillman,MEM,61,19.346,7.033,5.033,1.574,0.951,0.475,0.592,0.057,0.287,0.721,-0.016
1630215,Jared Butler,OKC,6,12.755,6.167,0.667,1.333,0.833,0.0,0.329,0.259,0.0,0.833,-0.167
1630217,Desmond Bane,MEM,58,31.749,21.5,5.017,4.379,0.966,0.379,0.478,0.403,0.727,2.172,6.138
1630219,Skylar Mays,POR,6,31.461,15.333,3.167,8.333,1.0,0.167,0.518,0.464,0.778,1.667,-12.333
1630224,Jalen Green,HOU,76,34.239,22.145,3.737,3.697,0.776,0.237,0.409,0.321,0.733,2.632,-5.882
1630225,Isaiah Todd,WAS,6,10.233,1.5,2.0,0.667,0.167,0.0,0.107,0.024,0.167,0.333,-1.167
1630227,Daishen Nix,HOU,57,16.042,3.965,1.719,2.316,0.544,0.123,0.33,0.257,0.167,1.509,-2.649
1630228,Jonathan Kuminga,GSW,67,20.812,9.94,3.448,1.866,0.612,0.463,0.493,0.292,0.478,1.418,-0.791
1630230,Naji Marshall,NOP,77,23.273,9.065,3.623,2.455,0.701,0.182,0.409,0.239,0.515,1.26,0.078
1630231,KJ Martin,HOU,82,27.953,12.671,5.512,1.5,0.5,0.366,0.561,0.292,0.548,1.11,-4.488
1630233,Nathan Knight,MIN,38,7.651,3.658,1.474,0.342,0.263,0.158,0.374,0.101,0.318,0.553,-0.237
1630235,Trent Forrest,ATL,23,12.042,2.261,1.609,1.652,0.304,0.087,0.363,0.0,0.065,0.652,-2.522
1630237,Anthony Lamb,GSW,62,19.274,6.694,3.468,1.548,0.452,0.323,0.491,0.341,0.243,0.871,0.516
1630240,Saben Lee,PHI,2,5.058,3.0,0.0,1.0,0.5,0.0,0.834,0.0,0.0,1.5,2.5
1630240,Saben Lee,PHX,23,15.801,6.304,1.957,2.826,0.783,0.043,0.359,0.19,0.454,0.913,-1.522
1630241,Sam Merrill,CLE,5,11.703,5.0,1.8,1.0,0.8,0.0,0.267,0.133,0.2,0.0,-1.0
1630243,Trevelin Queen,IND,7,10.0,3.0,2.429,0.857,0.286,0.714,0.117,0.095,0.286,1.0,2.0
1630245,Ayo Dosunmu,CHI,80,26.22,8.588,2.75,2.575,0.775,0.325,0.481,0.238,0.371,1.238,-0.962
1630249,Vít Krejčí,ATL,29,5.704,1.241,0.897,0.586,0.172,0.034,0.249,0.103,0.017,0.172,-0.103
1630250,Marko Simonovic,CHI,7,2.8,0.857,0.286,0.0,0.0,0.0,0.119,0.071,0.071,0.0,2.143
1630256,Jae'Sean Tate,HOU,31,21.854,9.129,3.806,2.71,0.677,0.226,0.47,0.239,0.586,1.516,-3.032
1630264,Anthony Gill,WAS,59,10.586,3.305,1.678,0.576,0.119,0.203,0.442,0.056,0.304,0.254,-0.203
1630267,Facundo Campazzo,DAL,8,6.52,1.25,0.25,1.125,0.75,0.0,0.174,0.188,0.062,0.375,1.375
1630270,Xavier Sneed,CHA,4,12.057,4.25,1.25,1.25,0.0,0.25,0.458,0.25,0.5,0.75,-7.0
1630284,Kevon Harris,ORL,34,13.443,4.147,2.059,0.471,0.5,0.147,0.343,0.198,0.312,0.618,0.0
1630288,Jeff Dowtin Jr.,TOR,25,10.348,2.44,0.92,1.24,0.36,0.12,0.328,0.133,0.127,0.2,-0.36
1630296,Braxton Key,DET,3,3.033,1.333,0.333,0.0,0.0,0.0,0.333,0.0,0.333,0.0,-1.0
1630322,Lindy Waters III,OKC,41,12.947,5.22,1.829,0.683,0.341,0.268,0.379,0.364,0.177,0.244,3.317
1630346,Matt Ryan,LAL,12,10.764,3.917,1.167,0.333,0.167,0.0,0.266,0.333,0.139,0.25,0.0
1630346,Matt Ryan,MIN,22,8.228,3.409,0.545,0.545,0.136,0.045,0.293,0.279,0.121,0.182,0.955
1630526,Jeremiah Robinson-Earl,OKC,43,18.923,6.791,4.186,1.0,0.558,0.256,0.399,0.261,0.341,0.442,-0.233
1630527,Brandon Boston,LAC,22,11.288,6.5,1.364,0.909,0.409,0.0,0.322,0.25,0.381,0.545,-2.0
1630528,Josh Christopher,HOU,64,12.285,5.812,1.109,1.141,0.516,0.234,0.423,0.155,0.276,0.938,-3.516
1630529,Herbert Jones,NOP,66,29.553,9.833,4.076,2.455,1.561,0.636,0.498,0.309,0.497,1.333,2.273
1630530,Trey Murphy III,NOP,79,30.987,14.532,3.557,1.418,1.127,0.544,0.466,0.379,0.673,0.772,0.481
